AAAP, 4
Symbol,Date,Open,High,Low,Close,Volume
AAAP,16 Aug 2017,50,50,49.25,49.47,21500
AAAP,17 Aug 2017,49.24,49.635,48.45,48.7,28700
AAAP,18 Aug 2017,49.07,49.54,47.8,48.42,48300
AAAP,21 Aug 2017,46.67,48.79,45.31,48.65,67600
AAAP,22 Aug 2017,47.83,48.98,47.83,48.65,38500
AAAP,23 Aug 2017,48.94,49.05,48.54,48.59,24000
AAAP,24 Aug 2017,48.26,49.05,48.09,48.9,25600
AAAP,25 Aug 2017,49.33,49.6,48.43,48.66,45300
AAAP,28 Aug 2017,48.36,49.1,48.36,48.82,55300
AAAP,29 Aug 2017,48.5,49.05,47.76,48.4,49800
AAAP,30 Aug 2017,48.55,48.785,48.07,48.4,27700
AAAP,31 Aug 2017,48,49,44.57,48.97,38300
AAAP,01 Sep 2017,48.5,48.5,46.6,46.72,40200
AAAP,04 Sep 2017,46.72,46.72,46.72,46.72,0
AAAP,05 Sep 2017,46.25,51.87,46.25,50.23,289500
AAAP,06 Sep 2017,49.79,50.51,48.25,49.5,129900
AAAP,07 Sep 2017,50.71,50.71,48.51,50.1,177600
AAAP,08 Sep 2017,50,50.01,49.25,49.68,139300
AAAP,11 Sep 2017,50.01,52.83,49.79,52.75,245500
AAAP,12 Sep 2017,53,53.28,51.5,52.32,243300
AAAP,13 Sep 2017,52.48,55.4,49.59,54.4,236000
AAAP,14 Sep 2017,54.83,58.975,53.07,56.94,342700
AAAP,15 Sep 2017,57.3,58.14,55.89,56.47,199100
AAAP,18 Sep 2017,56.93,60.99,56.88,57.63,384000
AAAP,19 Sep 2017,56.9,59.6,56.9,57.7,242700
AAAP,20 Sep 2017,57.85,58.26,56.92,57.64,260800
AAAP,21 Sep 2017,57.8,57.9,56.89,57.15,155900
AAAP,22 Sep 2017,56.4,56.94,53,55.05,256200
AAAP,25 Sep 2017,54.3,56.14,54.26,56.05,416900
AAAP,26 Sep 2017,55.89,59.88,55.2,58.3,744900
AAAP,27 Sep 2017,57.74,62.125,57.51,59.76,1514600
AAAP,28 Sep 2017,65.5,67.37,63.61,65.1,2817400
AAAP,29 Sep 2017,65.51,67.95,65.11,67.62,823100
AAAP,02 Oct 2017,68,68,64.87,65.15,277100
AAAP,03 Oct 2017,66.5,66.74,65.05,65.41,349300
AAAP,04 Oct 2017,65.5,66.16,64.85,65.74,236700
AAAP,05 Oct 2017,65.5,69.5,64.94,69.18,480900
AAAP,06 Oct 2017,69.99,70.95,67.65,70.71,308400
AAAP,09 Oct 2017,71,71,64.71,66.68,533200
AAAP,10 Oct 2017,67.28,68.34,66.16,66.74,131200
AAAP,11 Oct 2017,66.2,68,66.04,67.13,74700
AAAP,12 Oct 2017,67.29,69.26,67.06,68.53,185700
AAAP,13 Oct 2017,67.79,69.78,67.79,68.69,117200
AAAP,16 Oct 2017,68.75,72.37,67.57,71.06,624800
AAAP,17 Oct 2017,71.5,72.93,71,71.24,321200
AAAP,18 Oct 2017,70.72,71.74,70.09,70.65,110500
AAAP,19 Oct 2017,70.94,73,70.01,72.64,270800
AAAP,20 Oct 2017,73,74.94,73,73.56,257400
AAAP,23 Oct 2017,73,73.54,71.03,71.71,344600
AAAP,24 Oct 2017,70.92,76.73,70.34,74.49,645200
AAAP,25 Oct 2017,74.99,76.49,73.5,73.87,269600
AAAP,26 Oct 2017,73.04,74.28,68.4,68.99,851600
AAAP,27 Oct 2017,69.25,73.14,68.24,72.91,336700
AAAP,30 Oct 2017,80.35,80.7,80,80.5,8852500
AAAP,31 Oct 2017,80.5,81.17,80.1,81,6563900
AAAP,01 Nov 2017,81,81.5,80.81,81.03,1598900
AAAP,02 Nov 2017,80.85,81.15,80.85,81,1181900
AAAP,03 Nov 2017,80.75,81.15,80.73,80.99,700300
AAAP,06 Nov 2017,80.75,81.1,80.75,81,2069400
