date,close,volume,open,high,low
msft daily, 1
2016/12/16,62.3000,42452660.0000,62.9500,62.9500,62.1150
2016/12/15,62.5800,27661180.0000,62.7000,63.1535,62.3000
2016/12/14,62.6800,30335770.0000,63.0000,63.4500,62.5300
2016/12/13,62.9800,35072050.0000,62.5000,63.4200,62.2400
2016/12/12,62.1700,20186390.0000,61.8200,62.3000,61.7200
2016/12/09,61.9700,27337160.0000,61.1800,61.9900,61.1250
2016/12/08,61.0100,21201400.0000,61.3000,61.5800,60.8400
2016/12/07,61.3700,30807320.0000,60.0100,61.3800,59.8000
2016/12/06,59.9500,19966340.0000,60.4300,60.4600,59.8000
2016/12/05,60.2200,23552030.0000,59.7000,60.5850,59.5600
2016/12/02,59.2500,25464230.0000,59.0800,59.4700,58.8000
2016/12/01,59.2000,34518030.0000,60.1100,60.1500,58.9350
2016/11/30,60.2600,34641520.0000,60.8600,61.1800,60.2150
2016/11/29,61.0900,22365860.0000,60.6500,61.4100,60.5200
2016/11/28,60.6100,20604370.0000,60.3400,61.0200,60.2100
2016/11/25,60.5300,8409616.0000,60.3000,60.5300,60.1300
2016/11/23,60.4000,21847500.0000,61.0100,61.1000,60.2500
2016/11/22,61.1200,23205870.0000,60.9800,61.2600,60.8050
2016/11/21,60.8600,19638240.0000,60.5000,60.9700,60.4200
2016/11/18,60.3500,27210170.0000,60.7800,61.1400,60.3000
2016/11/17,60.6400,32084890.0000,60.4100,60.9500,59.9650
2016/11/16,59.6500,27329530.0000,58.9400,59.6600,58.8100
2016/11/15,58.8700,35850360.0000,58.3300,59.4900,58.3150
2016/11/14,58.1200,41248640.0000,59.0200,59.0800,57.2800
2016/11/11,59.0200,35932400.0000,58.2300,59.1160,58.0100
2016/11/10,58.7000,57770560.0000,60.4800,60.4900,57.6302
2016/11/09,60.1700,49588490.0000,60.0000,60.5900,59.2000
2016/11/08,60.4700,22923800.0000,60.5500,60.7800,60.1500
2016/11/07,60.4200,31652340.0000,59.7800,60.5200,59.7800
2016/11/04,58.7100,28693430.0000,58.6500,59.2800,58.5200
2016/11/03,59.2100,21448620.0000,59.5300,59.6400,59.1100
2016/11/02,59.4300,22118490.0000,59.8200,59.9300,59.3000
2016/11/01,59.8000,24474870.0000,59.9700,60.0200,59.2500
2016/10/31,59.9200,26418340.0000,60.1600,60.4200,59.9200
2016/10/28,59.8700,33569190.0000,60.0100,60.5200,59.5800
2016/10/27,60.1000,28444550.0000,60.6100,60.8300,60.0900
2016/10/26,60.6300,29908240.0000,60.8100,61.2000,60.4700
2016/10/25,60.9900,35119480.0000,60.8500,61.3699,60.8000
2016/10/24,61.0000,54039610.0000,59.9400,61.0000,59.9300
2016/10/21,59.6600,80008400.0000,60.2800,60.4500,59.4850
2016/10/20,57.2500,48880910.0000,57.5000,57.5200,56.6600
2016/10/19,57.5300,22840410.0000,57.4700,57.8400,57.3950
2016/10/18,57.6600,18862790.0000,57.5300,57.9450,57.4100
2016/10/17,57.2200,23829490.0000,57.3600,57.4600,56.8700
2016/10/14,57.4200,27221480.0000,57.1200,57.7400,57.1200
2016/10/13,56.9200,25217590.0000,56.7000,57.3000,56.3150
2016/10/12,57.1100,22157100.0000,57.1100,57.2700,56.4000
2016/10/11,57.1900,26483780.0000,57.8900,58.0200,56.8900
2016/10/10,58.0400,18085830.0000,57.9100,58.3900,57.8700
2016/10/07,57.8000,20062440.0000,57.8500,57.9800,57.4200
2016/10/06,57.7400,16194470.0000,57.7400,57.8600,57.2800
2016/10/05,57.6400,16708620.0000,57.2900,57.9601,57.2600
2016/10/04,57.2400,20061950.0000,57.2700,57.5950,56.9700
2016/10/03,57.4200,19156410.0000,57.4050,57.5500,57.0600
2016/09/30,57.6000,29877820.0000,57.5700,57.7700,57.3400
2016/09/29,57.4000,25389600.0000,57.8100,58.1679,57.2100
2016/09/28,58.0300,20523320.0000,57.8800,58.0600,57.6700
2016/09/27,57.9500,28029780.0000,56.9300,58.0600,56.6810
2016/09/26,56.9000,21184750.0000,57.0800,57.1400,56.8300
2016/09/23,57.4300,19941140.0000,57.8700,57.9100,57.3800
2016/09/22,57.8200,19821760.0000,57.9200,58.0000,57.6300
2016/09/21,57.7600,33623490.0000,57.5100,57.8500,57.0800
2016/09/20,56.8100,17347740.0000,57.3500,57.3500,56.7500
2016/09/19,56.9300,20919450.0000,57.2700,57.7500,56.8500
2016/09/16,57.2500,44603890.0000,57.6300,57.6300,56.7500
2016/09/15,57.1900,27049520.0000,56.1500,57.3500,55.9800
